model_id,model_revision,task_id,task_version,view_id,metric,score,status,dataset_revision,result_sha256,result_path
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,touche2020,ndcg_at_10,0.25412083570545074,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,ffed165b162805420559c8f454d5cff32aec86106b93fd0210ed25e561666e24,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/touche2020.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,touche2020,ndcg_at_10,0.24711932886736554,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,17e50ece11bafa14e0420404350ca2241df68dee2bf36b216427269e9ea76907,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/touche2020.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nepali-hard-negatives,1,hard-negatives,map_at_1000,0.6695833333333333,verified,f92818df24ed4d95905ad928dbde18feb4aeb2fb,a182ef46606a858b466a948fb935bb2e1cad4eac4261ea8459a1c1d13c60d408,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nepali-hard-negatives-v1/results/hard-negatives.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nepali-hard-negatives,1,hard-negatives,map_at_1000,0.7214583333333334,verified,f92818df24ed4d95905ad928dbde18feb4aeb2fb,cff833d43db809659b2de31c771ad1dc64b636d44a734e9e323e2a98ee63a6e2,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nepali-hard-negatives-v1/results/hard-negatives.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nepali-hard-negatives,1,hard-negatives,map_at_1000,0.6702083333333333,verified,f92818df24ed4d95905ad928dbde18feb4aeb2fb,92ef8543b415c199f23c93737248697e6dde8403304bcf1c5bffe96c6279993f,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nepali-hard-negatives-v1/results/hard-negatives.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,paraphrase-nepali,1,bilingual,max_ap,1.0,verified,b521e5ab755a301191c9118c6afc6889895f37bf,0b16a8625c4b43b89b4eb74c069fd8477e1af3183e240ef54f36c802628b4299,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/paraphrase-nepali-v1/results/bilingual.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,paraphrase-nepali,1,bilingual,max_ap,1.0,verified,b521e5ab755a301191c9118c6afc6889895f37bf,63abb96b70f650c8edb493ee56e669b68e3898cebfd71948bf8fc03eb38b23cb,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/paraphrase-nepali-v1/results/bilingual.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,paraphrase-nepali,1,bilingual,max_ap,1.0,verified,b521e5ab755a301191c9118c6afc6889895f37bf,dd000d5de4d2813775e44c167653436a02cc7d4e92b50bc57f6f04d52d70b96a,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/paraphrase-nepali-v1/results/bilingual.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,stsb-nepali,1,en-ne,cosine_spearman,0.3897940219368359,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,1f0d51d2dc387e53ab57c1003a03eb15c934d28020f9e464d4fbb36cd52bcf23,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/stsb-nepali-v1/results/en-ne.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,stsb-nepali,1,en-ne,cosine_spearman,0.43199518360752764,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,d23ad3accf327b809be7acf3d06a152049e4adc693e0cc2544e873088290f237,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/stsb-nepali-v1/results/en-ne.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,stsb-nepali,1,en-ne,cosine_spearman,0.3962411625432854,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,e2ee6b3048aa84e6581b658bc07629299a0a24007125534df368a8abed9ac95c,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/stsb-nepali-v1/results/en-ne.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,stsb-nepali,1,ne-en,cosine_spearman,0.39318355863056326,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,2fd2adfca63cb224b108dfb0cdaef6dd566d7809d3e21286803ea303bb5cbdda,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/stsb-nepali-v1/results/ne-en.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,stsb-nepali,1,ne-en,cosine_spearman,0.4699444042034017,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,e2e16ef5715c7d6e62dcd04681dcd96144dc0a6bc9c8eb752b861bb20c9146d6,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/stsb-nepali-v1/results/ne-en.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,stsb-nepali,1,ne-en,cosine_spearman,0.413690956826989,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,09b0ae927bb43ffa0e64a5157f7b263d74453da470d971590073714821bf558b,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/stsb-nepali-v1/results/ne-en.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,stsb-nepali,1,ne-ne,cosine_spearman,0.6136054713879975,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,78d5425a05385ddda19b5a00a19fa2700535dc06dfe0f5cabb4276e344fd5b48,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/stsb-nepali-v1/results/ne-ne.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,stsb-nepali,1,ne-ne,cosine_spearman,0.6345460021535556,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,d882bfe9fa2471b41e778629004da6969e0e11210504ab0b668cdfe15b601303,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/stsb-nepali-v1/results/ne-ne.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,stsb-nepali,1,ne-ne,cosine_spearman,0.604689342860629,verified,4bfcc74faa37875185b27a5dc64888f4711e833b,3ac9bc6a51bbaf5679c6ec2405f9a27b850ae4f19aa2e764fb7e9d9f33cb5f0e,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/stsb-nepali-v1/results/ne-ne.json
